日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2006/1/1,1017.5,0.0,-9.7,-3.0,-17.4,3.8,×,7.6,15,晴,晴後雪
2006/1/2,1007.0,9.5,-2.7,2.7,-9.7,5.6,×,0,22,雪後時々雨,雨
2006/1/3,988.2,5.5,0.5,2.4,-0.8,3.7,×,0,16,雪一時曇,曇一時雪
2006/1/4,996.6,--,-2.5,-0.3,-6.0,7.3,×,1.8,14,曇一時晴,晴
2006/1/5,1006.1,--,-7.1,-3.3,-12.4,4.3,×,8.0,14,晴,晴後一時雪
2006/1/6,1007.6,0.0,-9.1,-3.5,-14.6,3.3,×,8.5,14,晴,快晴
2006/1/7,1004.3,--,-9.5,-2.4,-15.2,4.3,×,8.4,14,晴,晴
2006/1/8,1007.2,--,-9.8,-2.5,-15.1,3.8,×,8.5,14,晴,晴
2006/1/9,1015.0,--,-10.4,-2.7,-17.6,3.0,×,8.8,14,快晴,晴
2006/1/10,1017.2,0.0,-9.7,-1.9,-17.6,4.3,×,8.5,14,薄曇,曇後雪
2006/1/11,1009.3,12.0,-3.9,-1.8,-9.0,7.8,×,1.4,33,雪後一時晴,晴
2006/1/12,1014.7,0.5,-5.2,-1.3,-9.6,6.6,×,7.2,30,晴一時薄曇,晴
2006/1/13,1024.2,--,-6.9,-4.1,-10.8,3.6,×,5.5,27,薄曇,曇後時々雪
2006/1/14,1011.3,2.0,-4.4,-0.3,-9.7,6.0,×,0.1,29,雪後一時曇,曇後一時晴
2006/1/15,1009.9,--,-3.3,0.4,-9.9,6.5,×,8.6,28,晴,晴時々薄曇
2006/1/16,1008.8,--,-5.2,2.6,-13.3,4.4,×,5.9,25,晴一時曇,晴
2006/1/17,1008.8,--,-7.4,-3.1,-13.9,3.0,×,8.5,24,快晴,快晴
2006/1/18,1007.5,--,-8.2,-1.8,-17.2,5.6,×,8.7,24,晴,快晴
2006/1/19,1003.9,--,-7.3,-2.2,-17.3,6.9,×,8.4,24,晴後曇,薄曇時々晴
2006/1/20,1008.3,--,-4.7,-1.9,-9.4,7.2,×,8.2,24,晴,晴
2006/1/21,1002.6,--,-5.5,-1.3,-13.9,6.8,×,8.7,23,晴,快晴
2006/1/22,998.1,--,-10.3,-4.1,-16.3,3.8,×,8.4,23,快晴,晴
2006/1/23,997.0,--,-10.6,-5.8,-18.3,6.1,×,8.9,23,晴,晴後一時曇
2006/1/24,1001.9,--,-2.8,0.4,-6.4,6.7,×,1.4,23,曇一時晴,晴
2006/1/25,1005.5,--,-5.0,0.7,-11.0,4.0,×,8.5,23,快晴,晴時々曇
2006/1/26,1000.1,--,-6.9,-1.3,-12.4,3.6,×,6.9,23,晴,晴
2006/1/27,998.9,--,-5.9,-0.1,-14.3,2.3,×,7.9,23,晴後一時曇,曇
2006/1/28,1005.0,--,-1.5,1.8,-4.8,6.3,×,4.0,23,晴一時曇,晴
2006/1/29,1018.6,--,-2.4,1.5,-6.9,3.2,×,8.8,23,晴,薄曇
2006/1/30,1014.5,--,-2.7,2.2,-7.0,3.9,×,6.2,22,晴,晴一時雪
2006/1/31,1017.8,0.0,-3.4,-0.7,-9.2,3.6,×,5.9,22,薄曇,晴
