日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
1999/6/1,1010.5,0.0,10.4,12.1,8.5,3.1,×,0,--,霧時々曇,霧
1999/6/2,1004.1,0.0,11.2,17.9,7.1,2.7,×,3.3,--,曇時々霧一時晴,霧後時々雨
1999/6/3,1003.8,0.5,11.5,18.2,6.9,2.2,×,5.8,--,晴時々曇,晴
1999/6/4,1008.9,--,10.9,13.3,9.0,3.1,×,3.9,--,曇一時霧,曇後一時霧
1999/6/5,1010.9,0.0,11.2,14.2,8.8,2.6,×,2.8,--,曇一時霧雨後一時晴,曇
1999/6/6,1011.1,0.0,11.9,15.9,9.8,3.0,×,3.3,--,曇一時晴,曇一時雨
1999/6/7,1005.7,6.0,9.7,13.3,7.8,3.0,×,0,--,雨時々曇,雨
1999/6/8,1001.7,8.5,9.9,12.6,7.3,3.6,×,0,--,雨一時曇,曇後一時晴
1999/6/9,1005.4,--,10.2,12.9,8.4,3.1,×,13.5,--,晴,晴後霧
1999/6/10,1007.0,--,12.2,17.3,6.7,3.2,×,13.0,--,晴,晴後時々曇
1999/6/11,1006.5,--,12.1,15.1,10.2,3.7,×,4.6,--,曇時々晴一時霧,晴時々曇一時霧
1999/6/12,1004.4,--,12.7,17.9,7.5,2.9,×,7.8,--,晴一時霧,晴
1999/6/13,1000.8,0.0,14.8,18.2,10.1,4.1,×,11.5,--,晴後一時曇,曇一時雨
1999/6/14,1001.8,--,18.9,28.3,14.1,3.5,×,8.3,--,薄曇時々晴,薄曇
1999/6/15,1002.4,0.5,13.1,17.9,9.5,2.8,×,2.9,--,曇一時雨,曇後一時雨、霧を伴う
1999/6/16,993.3,0.0,14.0,16.9,11.5,2.3,×,0,--,雨時々曇,曇一時雨後晴
1999/6/17,992.0,--,15.9,20.3,10.7,3.1,×,11.6,--,晴,曇一時晴
1999/6/18,999.3,--,15.6,19.8,10.7,3.5,×,5.6,--,晴,晴一時曇
1999/6/19,1007.6,0.0,12.0,17.8,10.2,3.8,×,9.1,--,晴後時々曇,曇
1999/6/20,1010.7,--,10.5,13.1,9.6,3.0,×,0,--,曇,曇
1999/6/21,1009.9,--,11.6,15.5,8.8,2.6,×,10.4,--,晴一時曇,晴時々霧
1999/6/22,1011.3,--,14.3,21.0,7.3,2.3,×,11.6,--,晴,曇後一時霧
1999/6/23,1006.7,0.0,15.4,17.4,13.8,2.6,×,0,--,曇一時霧,霧時々霧雨
1999/6/24,996.8,22.0,13.6,16.0,10.6,4.9,×,0,--,雨一時曇,雨時々霧後一時晴
1999/6/25,990.3,0.0,15.7,21.4,11.2,5.6,×,8.6,--,晴後一時曇,晴
1999/6/26,1007.2,0.5,14.6,17.9,11.3,2.6,×,9.2,--,晴後曇,曇一時雨
1999/6/27,1010.3,1.0,12.9,16.2,10.6,3.0,×,0,--,曇後霧雨,霧雨時々雨一時霧
1999/6/28,1011.2,3.5,13.1,15.1,10.9,2.1,×,0,--,霧雨時々曇,曇、霧を伴う
1999/6/29,1016.1,0.0,10.6,12.3,9.6,2.9,×,0,--,曇一時霧,曇一時霧雨
1999/6/30,1015.2,0.0,13.2,16.4,9.9,3.9,×,0.8,--,曇,曇
