日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
1999/5/1,1014.7,0.0,6.5,10.5,-0.4,4.4,×,9.0,--,晴時々曇,晴時々曇一時雨
1999/5/2,1016.9,0.0,9.5,16.4,5.3,4.4,×,12.8,--,晴,快晴
1999/5/3,1020.3,0.0,6.9,11.6,-0.4,4.1,×,8.9,--,曇時々晴,曇後雨
1999/5/4,1009.9,11.5,6.8,8.3,5.5,3.9,×,0,--,雨,雨、霧を伴う
1999/5/5,989.3,83.0,8.0,10.2,5.2,8.4,×,0,--,雨後時々霧雨,晴
1999/5/6,994.5,0.0,7.2,10.2,4.4,5.4,×,8.7,--,晴時々曇,曇時々雨後一時晴
1999/5/7,999.6,2.0,7.6,11.0,5.0,3.3,×,6.3,--,晴後曇時々雨,雨時々曇後霧
1999/5/8,1005.1,0.5,8.7,14.7,4.2,2.7,×,8.2,--,晴一時雨,晴後曇
1999/5/9,1008.9,0.0,7.7,10.9,4.7,2.3,×,2.5,--,曇時々晴,曇一時雨
1999/5/10,1007.0,0.5,7.2,12.0,5.6,3.2,×,2.7,--,曇時々晴,曇
1999/5/11,1007.0,0.5,6.1,10.2,3.2,2.5,×,2.4,--,曇後一時雨、霧を伴う,霧一時霧雨
1999/5/12,1005.0,0.0,6.4,10.9,3.1,2.4,×,0.2,--,霧後曇一時雨,晴
1999/5/13,1003.7,0.5,8.4,13.2,2.0,3.1,×,6.3,--,晴後曇時々雨,曇一時雨後晴
1999/5/14,1005.6,1.0,7.8,14.2,2.7,4.2,×,6.9,--,晴後曇時々雨,晴
1999/5/15,1012.7,--,6.3,13.0,3.4,4.5,×,10.0,--,晴一時曇,曇後晴
1999/5/16,1009.6,0.0,7.5,10.4,3.5,2.8,×,10.0,--,晴,曇後晴
1999/5/17,1010.1,0.0,8.3,15.4,4.4,3.7,×,5.7,--,曇,曇後晴
1999/5/18,1014.4,--,8.4,12.1,3.5,2.9,×,5.9,--,晴後曇,曇後時々雨
1999/5/19,1005.7,18.5,9.4,10.5,8.6,5.2,×,0,--,雨一時曇,雨
1999/5/20,990.8,2.0,9.3,11.9,7.5,4.8,×,3.9,--,霧雨後晴,晴
1999/5/21,996.3,0.0,12.5,16.7,7.8,6.0,×,9.8,--,晴時々曇,晴
1999/5/22,1004.8,--,12.6,17.7,8.6,5.5,×,12.4,--,晴,晴
1999/5/23,1006.7,--,11.1,18.8,6.1,3.5,×,13.1,--,晴,晴後薄曇
1999/5/24,1003.8,--,7.8,12.2,5.7,4.2,×,5.9,--,曇時々晴,曇後一時雨
1999/5/25,995.3,23.0,5.4,6.5,4.4,5.9,×,0,--,雨,雨後曇
1999/5/26,1006.2,0.0,7.8,10.5,6.0,2.4,×,0,--,曇,曇一時霧雨
1999/5/27,1003.3,26.5,6.3,7.7,4.9,5.5,×,0,--,雨一時霧,曇時々雨
1999/5/28,999.6,9.0,6.6,8.9,4.8,3.0,×,0.6,--,曇後霧雨,曇時々雨後霧
1999/5/29,1000.6,0.0,8.5,13.0,5.5,3.7,×,7.1,--,霧後晴,曇後晴
1999/5/30,1006.9,--,12.0,15.3,7.7,2.7,×,13.4,--,快晴,快晴
1999/5/31,1011.7,--,11.1,14.7,6.7,3.5,×,13.3,--,晴,晴後一時霧
