日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2021/4/1,1014.9,0.0,6.0,12.0,2.2,3.3,南南東,8.2,--,晴後曇一時雨,晴時々曇
2021/4/2,1025.2,--,4.4,8.4,-0.5,3.1,南南西,11.0,--,晴後一時曇,曇一時晴、霧を伴う
2021/4/3,1014.6,--,5.4,7.3,3.2,5.6,南南西,0.1,--,曇、霧を伴う,曇後一時雨、大風を伴う
2021/4/4,1007.3,18.0,4.9,7.6,0.7,4.9,北東,0.0,--,雨,みぞれ一時雨
2021/4/5,1012.8,2.0,3.3,8.2,-0.6,7.3,北北東,7.2,--,曇後晴,晴
2021/4/6,1019.1,--,1.3,5.7,-4.2,2.8,南南東,10.0,--,晴後一時曇,曇時々晴
2021/4/7,1011.4,--,0.2,3.2,-3.8,3.3,南南東,7.5,--,曇後晴,曇時々晴
2021/4/8,1004.6,0.0,2.8,9.8,-0.9,4.7,西南西,8.8,--,晴後みぞれ一時雪,晴時々曇
2021/4/9,1010.2,0.0,1.5,5.8,-4.3,4.7,北北東,9.2,--,晴後曇一時雪、みぞれを伴う,曇後晴
2021/4/10,1021.6,--,3.5,7.0,0.6,4.0,南南西,11.6,--,晴時々曇,曇時々晴
2021/4/11,1026.3,--,3.7,9.4,-2.5,3.1,北北東,12.7,--,晴,晴
2021/4/12,1023.5,--,4.7,9.1,-1.8,4.6,南,12.0,--,晴,曇後一時晴
2021/4/13,1010.0,4.0,6.4,8.1,4.8,11.9,南南東,0.0,--,曇後一時雨、大風を伴う,雨後霧時々曇、大風を伴う
2021/4/14,1000.6,0.0,5.1,8.9,2.5,5.9,南南西,2.8,--,曇時々晴後雨,曇後時々晴、みぞれを伴う
2021/4/15,1011.7,0.0,4.1,9.4,0.2,5.8,南西,9.3,--,晴後時々曇一時雨,晴
2021/4/16,1022.5,0.0,4.5,8.8,-2.0,4.6,南南東,10.5,--,晴後一時曇,曇時々雨
2021/4/17,1017.6,10.0,6.2,7.0,5.3,9.5,南東,0.0,--,雨時々曇,雨
2021/4/18,991.4,35.0,7.0,10.1,3.6,8.4,東南東,0.0,--,雨後一時霧、大風を伴う,曇時々雨一時晴、霧を伴う
2021/4/19,988.2,0.0,7.6,12.8,4.3,8.7,南西,9.8,--,晴後時々曇、大風を伴う,晴後時々曇
2021/4/20,999.8,0.0,7.8,13.0,5.0,10.6,南南西,11.3,--,晴後一時雨、大風を伴う,晴時々曇
2021/4/21,1006.1,0.5,7.1,14.0,1.4,7.6,西南西,6.4,--,曇時々晴,みぞれ時々曇一時晴
2021/4/22,1014.9,1.0,2.8,5.9,0.6,9.7,北北東,5.8,--,曇時々みぞれ後晴、大風を伴う,晴
2021/4/23,1018.4,--,4.8,12.5,0.2,5.3,北北東,13.0,--,晴,曇時々晴
2021/4/24,1009.7,0.0,7.0,11.7,2.9,4.1,南南東,8.7,--,晴時々曇,曇一時雨
2021/4/25,1006.2,0.0,3.5,9.8,-0.4,7.4,北北東,0.1,--,みぞれ時々曇一時雨,晴時々曇
2021/4/26,1013.6,--,3.1,8.9,-1.5,6.0,北,10.6,--,晴後一時曇,晴時々曇
2021/4/27,1013.9,--,5.7,11.3,-1.2,3.5,北西,12.8,--,晴,晴後一時曇
2021/4/28,1012.7,--,7.2,13.0,0.9,3.6,南東,8.7,--,晴時々曇,曇後一時雨
2021/4/29,1007.9,0.0,9.2,12.7,4.9,2.9,東北東,1.4,--,曇,雨時々曇
2021/4/30,989.5,38.5,6.5,8.9,4.2,9.8,西北西,0.0,--,暴風雨後一時曇,曇時々晴一時雨
