日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2013/2/1,1023.4,--,-4.0,1.1,-10.4,2.8,南,8.0,10,晴一時霧,晴後曇
2013/2/2,1001.2,0.0,1.3,7.3,-3.1,8.5,西,3.7,10,曇一時霧後晴、大風を伴う,快晴、大風を伴う
2013/2/3,1004.8,--,-4.3,-2.9,-5.4,14.2,西,8.4,8,晴時々曇、大風を伴う,快晴、大風を伴う
2013/2/4,1002.8,0.5,-1.9,0.3,-4.3,8.9,西,7.3,8,晴後曇、大風を伴う,曇時々雪後一時晴
2013/2/5,1004.0,0.0,-3.7,-1.7,-5.5,7.5,西,9.8,8,快晴,晴後薄曇
2013/2/6,1011.3,--,-5.0,-0.2,-10.3,2.9,北北東,4.6,8,薄曇,晴
2013/2/7,1005.2,12.0,-5.1,-0.8,-11.8,5.8,北北東,2.4,25,晴後雪,雪一時晴
2013/2/8,989.9,0.0,-1.7,1.1,-4.7,8.0,西南西,6.9,24,曇後晴,晴後曇
2013/2/9,1005.2,0.0,-2.2,1.6,-6.8,6.0,西,5.0,21,曇一時晴,晴時々曇
2013/2/10,1010.1,--,-6.7,-2.1,-12.6,3.7,北東,6.4,19,曇時々晴,晴後曇一時雪
2013/2/11,1010.8,0.0,-6.2,-1.9,-9.0,5.4,北北東,5.2,18,曇一時雪,晴一時薄曇
2013/2/12,1019.0,0.0,-7.8,-2.0,-16.0,2.8,北北東,9.8,17,晴一時薄曇時々雪,曇一時晴後時々雪
2013/2/13,1014.0,0.0,-4.5,0.0,-7.8,5.4,北北東,3.8,17,曇一時雪後時々晴,晴後時々曇
2013/2/14,1013.5,--,-5.2,-0.7,-10.8,3.6,南南西,7.9,16,薄曇後晴,晴後一時霧
2013/2/15,1007.3,--,-5.2,0.3,-11.7,4.4,北北東,5.9,16,晴時々薄曇,　曇後時々雪
2013/2/16,1004.7,3.0,-6.2,-4.2,-10.2,6.8,北,5.8,18,雪後晴,快晴
2013/2/17,1011.2,--,-6.0,-0.8,-10.7,5.4,北西,10.0,16,晴,晴
2013/2/18,1008.4,0.0,-7.5,-2.8,-15.7,2.9,北北東,6.4,15,晴時々曇,曇後雪
2013/2/19,1002.9,1.0,-5.4,-2.3,-8.3,3.7,北北東,3.5,18,雪一時曇,雪後晴
2013/2/20,1000.8,0.0,-5.1,-2.2,-8.0,6.7,西,8.7,18,晴,晴
2013/2/21,1005.3,--,-6.7,-1.4,-15.2,5.7,西,9.9,16,晴後時々薄曇,快晴
2013/2/22,1006.5,--,-5.8,-0.5,-15.9,7.4,西,10.1,15,晴,晴
2013/2/23,1005.8,--,-5.7,-0.7,-12.2,4.5,北北西,8.9,15,晴,晴後薄曇
2013/2/24,1006.0,--,-9.2,-4.1,-14.9,6.4,北北東,3.4,14,曇,晴一時薄曇
2013/2/25,1013.0,--,-6.8,-1.7,-11.9,4.7,北北西,9.8,14,晴,快晴
2013/2/26,1015.2,--,-7.5,-1.8,-15.5,4.8,北東,10.7,14,快晴,晴後薄曇
2013/2/27,1012.4,--,-5.1,0.9,-13.4,3.3,北東,8.9,14,薄曇一時晴,曇後雪
2013/2/28,1008.5,4.0,-1.6,1.4,-4.5,4.5,北北東,1.9,18,雪後曇時々晴,晴時々曇
