日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2013/4/1,1014.0,--,2.2,6.6,-3.0,4.9,西南西,10.3,--,晴一時曇,晴後薄曇
2013/4/2,1014.3,--,2.7,5.6,-1.6,4.5,南南西,8.2,--,薄曇,曇後時々雪
2013/4/3,1006.6,4.0,3.8,9.7,-1.1,3.6,北北東,1.8,--,曇時々雨,曇後時々霧
2013/4/4,1007.0,1.0,3.2,6.6,1.5,3.7,北東,1.1,--,曇一時雨、霧を伴う,曇一時晴
2013/4/5,1015.4,--,0.6,2.8,-0.4,3.7,南南西,0.6,--,曇,曇後霧
2013/4/6,1011.2,11.5,3.7,7.6,-0.1,4.0,北東,3.1,--,曇一時霧後時々雨,雨、霧を伴う
2013/4/7,983.7,94.0,5.9,8.7,4.0,8.2,北東,0.0,--,暴風雨,雨、霧を伴う
2013/4/8,976.9,4.0,5.0,6.8,3.9,7.4,西,0.0,--,雨後一時曇,曇後晴
2013/4/9,998.2,0.0,4.8,8.4,2.7,8.0,西,8.8,--,晴後薄曇,薄曇後晴一時雨
2013/4/10,999.8,0.0,3.8,7.3,1.9,9.5,南西,10.0,--,晴後一時曇、大風を伴う,晴後一時曇
2013/4/11,1001.8,--,4.0,8.4,1.6,6.3,南西,10.8,--,晴後一時薄曇,晴後曇一時雨
2013/4/12,1001.1,0.5,3.8,6.4,2.1,7.9,南西,8.8,--,曇時々晴後一時みぞれ,晴
2013/4/13,1005.2,--,4.5,7.4,1.8,6.6,南西,9.1,--,晴後時々薄曇,曇
2013/4/14,1000.5,--,4.8,7.9,3.0,8.9,南,5.9,--,曇一時晴、大風を伴う,　曇後一時雨、霧を伴う
2013/4/15,998.5,0.0,5.4,7.9,3.2,7.5,南南西,8.4,--,晴後一時曇,薄曇後晴
2013/4/16,1008.1,0.0,3.8,7.4,-0.5,3.4,南南東,9.8,--,晴後薄曇,曇後雨一時みぞれ
2013/4/17,1004.3,1.5,2.9,4.1,1.3,3.4,北北東,0.0,--,雨一時みぞれ後曇,曇
2013/4/18,1004.4,2.5,2.4,5.4,0.7,2.7,西南西,0.4,--,曇時々雨,雪一時みぞれ
2013/4/19,1000.8,4.5,1.7,3.9,-0.4,3.0,西南西,0.1,--,雪時々雨一時みぞれ,晴一時曇後霧
2013/4/20,1007.3,0.5,3.0,7.7,-1.8,3.7,南南西,9.6,--,晴後一時雨,晴後一時薄曇
2013/4/21,1007.7,19.0,2.6,5.9,0.5,6.3,北北東,3.8,3,薄曇後雨一時雪,雪一時みぞれ後晴
2013/4/22,1003.3,0.0,6.1,10.9,1.7,6.2,西,9.6,1,晴一時薄曇,晴
2013/4/23,1012.0,--,7.7,13.9,3.0,4.7,南西,11.8,--,晴、大風を伴う,晴後一時薄曇
2013/4/24,1008.2,23.5,6.4,10.3,1.7,5.8,南南東,6.4,--,曇後一時雨,雨後一時晴、霧を伴う
2013/4/25,995.2,1.0,7.1,10.1,3.6,10.5,南南西,12.4,--,晴、大風を伴う,晴
2013/4/26,1001.5,0.0,7.3,12.2,3.5,3.9,北東,4.8,--,晴後曇一時雨,曇
2013/4/27,991.9,0.0,6.0,9.4,4.1,10.2,北北西,0.3,--,曇時々雨,曇、大風を伴う
2013/4/28,997.1,0.0,5.5,8.2,4.2,10.2,北西,0.8,--,曇一時雨,曇
2013/4/29,1005.3,--,6.6,12.7,3.7,6.9,北西,3.3,--,曇一時晴,晴時々曇
2013/4/30,1005.5,3.5,3.1,7.4,1.2,3.2,北北東,2.5,--,曇後みぞれ時々雨,みぞれ時々雨
