日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2000/4/1,994.1,1.5,-0.1,2.8,-3.1,5.5,×,3.2,14,曇時々雪後一時晴,晴一時薄曇
2000/4/2,1007.5,0.5,0.6,5.3,-4.6,1.9,×,6.7,11,晴一時雪,晴
2000/4/3,1013.0,--,3.0,7.4,-0.9,4.0,×,12.1,4,快晴,快晴
2000/4/4,1015.6,--,3.3,6.8,0.4,4.3,×,12.1,0,快晴,晴
2000/4/5,1008.4,15.5,4.8,6.8,1.6,7.3,×,0.2,--,曇後時々雨,雨後時々霧
2000/4/6,996.7,14.0,4.8,8.3,2.0,6.9,×,7.3,--,晴一時雨,快晴
2000/4/7,1010.8,--,4.0,6.3,1.2,5.0,×,12.3,--,快晴,曇一時霧
2000/4/8,1004.4,0.0,4.3,10.6,1.4,3.6,×,2.2,--,曇時々雨一時晴,晴
2000/4/9,1016.3,--,4.2,9.0,0.7,3.2,×,11.9,--,晴後薄曇,薄曇
2000/4/10,1013.2,0.0,4.4,8.9,-0.8,5.2,×,0.4,--,曇,曇時々雨
2000/4/11,990.7,26.0,4.7,7.5,1.1,10.5,×,0,--,雨、大風を伴う,曇時々雪一時晴
2000/4/12,993.9,1.0,3.2,6.4,0.4,5.5,×,7.1,0,薄曇後晴,晴後一時曇
2000/4/13,1000.9,--,4.6,8.8,1.9,3.5,×,10.4,--,晴,晴後薄曇
2000/4/14,1004.0,29.0,2.7,6.3,0.4,4.2,×,0,0,雨,雪時々雨
2000/4/15,1003.4,5.5,4.0,9.0,1.8,4.5,×,0.8,0,曇一時雨,曇一時雨後時々雪
2000/4/16,999.5,0.0,1.7,4.0,0.4,3.2,×,0,--,曇時々雪一時雨,曇時々晴
2000/4/17,1003.5,0.0,2.9,7.3,0.4,×,×,4.2,--,曇後一時雨,晴一時曇
2000/4/18,1009.5,0.0,3.3,7.6,-0.1,3.3,×,10.3,--,晴,晴後雨
2000/4/19,1012.6,1.0,3.2,8.2,-0.4,5.4,×,6.1,--,晴一時雪,晴時々曇
2000/4/20,1020.2,--,2.8,6.4,-1.0,3.0,×,12.5,--,晴,曇一時晴
2000/4/21,1017.5,0.0,6.1,7.8,3.1,4.2,×,0,--,曇時々霧雨,雨一時曇
2000/4/22,998.4,49.0,7.6,9.2,5.5,8.8,×,0,--,大雨,雨後一時晴
2000/4/23,993.1,5.0,7.1,12.1,3.4,3.3,×,7.7,--,晴後曇一時雨、雷を伴う,曇一時雨後晴
2000/4/24,995.9,--,6.2,9.3,3.8,3.3,×,9.8,--,晴一時曇,晴時々曇一時雨
2000/4/25,998.0,2.0,6.5,12.5,3.7,3.0,×,4.8,--,晴後一時雨,雨後晴
2000/4/26,1007.4,--,4.6,10.0,0.5,4.0,×,9.5,--,晴,曇一時晴
2000/4/27,1007.6,9.0,1.4,2.9,0.5,4.7,×,0,--,曇時々雪後雨,雨後時々雪
2000/4/28,990.9,37.5,1.9,4.0,0.3,7.8,×,0,9,雪後一時雨,曇後時々雪
2000/4/29,1000.5,0.0,3.4,6.1,1.7,6.0,×,0.2,6,曇一時雪,曇後晴
2000/4/30,1010.3,--,4.7,11.1,-0.9,2.8,×,13.3,3,快晴,晴
