日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2012/12/1,1010.5,--,-1.6,2.1,-5.5,5.2,北西,8.6,--,晴一時薄曇,晴
2012/12/2,1015.6,--,-2.1,1.1,-5.6,4.7,西北西,8.1,--,晴後薄曇,薄曇
2012/12/3,1017.5,--,-1.2,3.8,-5.3,3.2,北北東,7.8,--,晴一時薄曇,晴後曇
2012/12/4,1002.3,36.0,4.0,9.2,-3.4,8.0,東南東,0.0,--,雨一時曇、大風を伴う,暴風雨
2012/12/5,998.4,12.0,2.5,4.7,-1.5,9.7,西,8.2,--,晴一時曇、大風を伴う,晴後一時曇
2012/12/6,1001.0,14.5,0.8,7.2,-5.0,10.4,北東,0.0,0,曇時々雨一時雪、大風を伴う,晴、大風を伴う
2012/12/7,1002.1,--,-1.8,0.6,-5.3,8.7,西南西,7.8,--,晴、大風を伴う,快晴
2012/12/8,997.3,16.5,-2.9,4.3,-9.2,5.9,北東,1.4,12,曇一時晴後雪,雪一時曇、大風を伴う
2012/12/9,983.2,3.0,-0.1,0.8,-0.9,10.4,西,0.3,9,曇一時雪、大風を伴う,雪時々曇後一時雨
2012/12/10,989.6,0.0,1.4,3.7,-1.6,7.2,北北西,2.3,8,曇時々雪一時雨,晴
2012/12/11,1003.0,--,-1.2,1.9,-4.4,5.8,北西,8.7,5,快晴,晴
2012/12/12,1010.5,--,-2.9,1.8,-8.2,5.3,北北西,8.5,5,快晴,快晴
2012/12/13,1019.1,--,-4.2,0.4,-9.7,3.7,北北東,8.5,4,快晴,晴一時曇
2012/12/14,1015.3,--,-2.6,3.3,-8.6,3.9,西北西,7.3,4,晴一時薄曇,晴
2012/12/15,1015.3,0.0,-3.4,1.3,-9.5,3.6,北北東,3.4,4,曇一時晴,曇後雪
2012/12/16,1004.5,4.0,0.1,0.8,-1.8,4.2,北北東,0.0,14,雪,曇一時雪後時々晴、霧を伴う
2012/12/17,1010.7,0.0,-0.7,3.4,-5.4,2.9,北北東,7.2,13,晴後一時曇、霧を伴う,曇後雪
2012/12/18,999.2,15.5,-0.2,2.4,-2.7,5.4,北北東,1.9,31,雪後曇時々晴,曇時々晴
2012/12/19,1003.8,0.0,-4.5,-0.5,-8.2,4.6,北西,6.8,26,晴一時雪,快晴
2012/12/20,1009.6,--,-7.1,-1.5,-12.6,5.1,西,8.3,26,快晴,晴
2012/12/21,1014.2,--,-7.2,-0.2,-16.4,3.2,北北東,8.0,24,晴後一時曇,曇後晴
2012/12/22,1004.9,1.5,-1.4,3.8,-6.7,5.5,北北東,3.8,24,晴後曇一時雪,雪一時曇
2012/12/23,1004.8,0.0,-4.5,-1.2,-9.9,4.2,北西,8.3,24,晴,快晴
2012/12/24,1012.8,--,-9.7,-4.0,-15.2,4.9,北北東,8.2,23,快晴,晴後一時曇
2012/12/25,1005.0,2.0,-9.9,-2.8,-18.4,6.0,北北東,0.0,28,雪時々曇,晴時々曇一時雪、大風を伴う
2012/12/26,1001.4,--,-6.1,-3.2,-11.7,9.1,西北西,6.4,28,晴一時曇,晴
2012/12/27,1010.5,0.0,-8.4,-5.4,-13.5,9.1,西,8.4,28,快晴、大風を伴う,晴一時雪
2012/12/28,1017.7,--,-11.4,-5.0,-17.7,3.3,北北東,8.2,22,晴,晴
2012/12/29,1020.9,--,-9.3,-2.8,-16.9,4.3,北北東,8.4,21,快晴,晴後曇
2012/12/30,1005.0,6.0,-0.9,5.0,-11.2,7.3,南南東,0.0,21,曇一時雪後雨、大風を伴う,雨時々曇、霧を伴う
2012/12/31,987.6,2.0,0.6,3.7,-4.2,9.7,西,6.6,12,晴後一時雪、大風を伴う,晴、大風を伴う
