日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2006/6/1,1004.1,4.0,11.6,18.0,8.1,5.5,×,2.5,--,晴時々曇一時雨,曇時々晴
2006/6/2,1007.5,--,10.4,14.7,7.7,8.4,×,10.0,--,晴後一時曇,曇
2006/6/3,1009.5,--,10.6,17.5,7.5,5.3,×,9.5,--,曇後晴,晴
2006/6/4,1009.8,--,9.7,15.1,4.9,3.1,×,12.8,--,晴後薄曇,薄曇
2006/6/5,1008.0,--,10.7,14.7,7.9,4.2,×,5.3,--,薄曇,曇
2006/6/6,1008.5,--,11.6,14.8,9.9,3.3,×,5.9,--,薄曇,曇後一時霧
2006/6/7,1010.4,--,8.9,11.7,7.3,3.7,×,1.9,--,曇一時晴,曇
2006/6/8,1009.1,1.0,8.3,10.1,7.2,3.7,×,0,--,曇一時雨,雨後曇
2006/6/9,1008.0,11.0,9.8,12.9,8.4,5.4,×,0.6,--,曇後雨,雨
2006/6/10,1005.2,19.5,8.3,10.2,6.9,7.4,×,0,--,雨後一時曇,曇一時雨
2006/6/11,1011.4,--,8.3,11.3,6.4,3.4,×,0,--,曇,曇一時霧雨、霧を伴う
2006/6/12,1014.1,0.0,7.3,9.9,5.6,3.1,×,1.0,--,曇,曇後一時霧雨
2006/6/13,1014.6,0.0,8.8,11.4,6.5,3.1,×,2.4,--,曇一時晴,曇後時々霧
2006/6/14,1013.5,0.0,10.9,14.2,8.8,2.5,×,0.1,--,曇時々霧,曇時々霧雨一時霧
2006/6/15,1014.3,0.0,12.4,15.0,10.7,5.7,×,0,--,曇,曇後霧一時雨
2006/6/16,1014.1,18.5,12.0,13.6,10.8,10.2,×,0,--,雨一時霧,雨一時曇
2006/6/17,1012.6,87.5,12.3,13.5,10.5,4.7,×,0,--,大雨,雨後一時霧雨
2006/6/18,1004.2,14.0,11.3,13.1,10.1,7.4,×,0,--,曇一時霧雨,雨時々曇
2006/6/19,1002.3,0.5,12.2,17.2,10.2,3.6,×,1.9,--,曇後一時雨,曇一時雨
2006/6/20,1006.1,0.0,13.5,16.6,10.4,2.4,×,3.6,--,曇一時霧,曇
2006/6/21,1005.5,1.5,12.0,13.8,10.5,1.8,×,0,--,曇時々雨一時霧,雨時々霧
2006/6/22,1002.4,5.0,13.2,16.1,10.6,2.1,×,0,--,曇時々雨、雷・霧を伴う,曇一時雨、霧を伴う
2006/6/23,1003.6,2.0,12.5,16.0,10.7,2.2,×,0,--,曇時々雨,霧一時雨
2006/6/24,1005.5,0.0,13.1,17.3,10.6,1.9,×,2.3,--,曇一時晴、霧を伴う,曇一時霧
2006/6/25,1008.0,0.0,12.1,15.6,10.0,2.7,×,0.1,--,曇時々霧,霧後一時霧雨
2006/6/26,1006.3,0.0,12.1,13.9,10.1,2.7,×,0,--,曇時々霧一時霧雨,霧雨時々雨、霧を伴う
2006/6/27,1002.9,50.5,14.1,16.1,13.1,5.9,×,0,--,霧時々霧雨一時雨,大雨一時霧、雷を伴う
2006/6/28,1000.2,63.0,14.5,17.7,12.3,2.9,×,3.8,--,雨時々霧後晴、雷を伴う,曇後霧一時雨、雷を伴う
2006/6/29,1001.9,4.5,15.9,20.0,11.7,4.7,×,9.9,--,晴一時霧,晴
2006/6/30,1004.4,--,16.3,20.1,12.9,3.4,×,12.1,--,晴,曇後晴
