日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2004/2/1,1013.6,0.0,-4.3,-0.8,-7.1,4.8,×,8.3,16,晴,快晴
2004/2/2,1013.8,0.0,-5.1,-1.5,-11.9,3.3,×,5.9,16,晴後曇,曇後雪
2004/2/3,994.2,12.0,0.3,3.7,-2.7,4.8,×,1.4,26,雪後晴,晴
2004/2/4,991.0,0.0,-2.7,-0.3,-5.8,8.8,×,9.4,22,快晴,晴
2004/2/5,990.8,--,-1.5,1.4,-5.9,9.0,×,9.2,21,晴後曇,晴一時曇
2004/2/6,999.9,0.0,-3.0,1.2,-8.2,4.1,×,5.9,21,晴後曇一時雪,晴
2004/2/7,1001.8,0.0,-7.3,-1.1,-13.9,3.4,×,6.5,21,晴後一時曇,快晴
2004/2/8,1007.6,--,-7.0,-0.7,-15.5,3.6,×,7.4,20,晴時々薄曇,快晴
2004/2/9,1011.5,--,-4.9,0.0,-10.4,3.6,×,7.0,20,晴,快晴
2004/2/10,1019.4,--,-6.6,-0.9,-14.5,4.1,×,9.9,20,快晴,快晴
2004/2/11,1014.1,--,-4.3,1.2,-14.4,4.4,×,9.6,20,晴後薄曇,曇後一時雪
2004/2/12,1008.2,0.5,0.1,4.9,-3.6,5.5,×,6.3,20,曇後晴一時雪,晴
2004/2/13,1012.7,--,-1.9,2.5,-9.1,3.9,×,9.9,18,快晴,晴後曇
2004/2/14,1003.3,0.0,1.9,3.6,-2.5,5.3,×,3.6,17,薄曇,曇時々雨
2004/2/15,987.8,10.0,1.6,3.7,0.4,9.4,×,0,18,雪後一時曇,曇一時雪、大風を伴う
2004/2/16,1005.9,--,-2.7,0.9,-6.6,8.6,×,4.6,18,曇後晴,晴後薄曇
2004/2/17,1002.6,1.0,-6.0,-3.5,-8.4,4.3,×,0.2,20,雪時々曇,雪
2004/2/18,1004.2,2.0,-6.3,-2.6,-9.5,6.2,×,8.3,19,晴,快晴
2004/2/19,1015.8,--,-6.0,-1.4,-11.6,5.0,×,9.3,19,快晴,晴
2004/2/20,1022.1,--,-2.9,1.1,-8.7,4.9,×,9.7,18,晴,曇
2004/2/21,1013.3,0.0,-0.5,4.5,-4.4,3.3,×,5.6,18,曇,曇後雪
2004/2/22,1004.5,12.0,-1.3,-0.1,-2.1,5.4,×,0,31,雪,雪後雨
2004/2/23,984.3,11.0,-3.9,0.1,-9.7,13.0,×,0,31,雪後一時曇、大風を伴う,晴一時曇
2004/2/24,1007.9,--,-4.8,0.0,-10.0,3.5,×,10.2,29,快晴,晴後曇一時雪、みぞれを伴う
2004/2/25,998.9,0.0,2.0,5.9,-6.5,7.8,×,9.7,25,快晴,晴後一時曇、霧を伴う
2004/2/26,989.6,0.5,-0.5,4.7,-6.8,10.4,×,5.9,21,曇一時雨後晴、大風を伴う,晴後一時雪、大風を伴う
2004/2/27,997.5,0.0,-4.3,-0.5,-7.1,7.2,×,4.3,19,晴一時雪、大風を伴う,快晴
2004/2/28,1008.9,--,-3.8,1.3,-13.6,5.6,×,10.3,18,快晴,曇一時晴、大風を伴う
2004/2/29,996.0,--,1.7,5.1,-2.7,12.3,×,4.6,18,晴時々薄曇、大風を伴う,快晴、大風を伴う
